class_id,posture_canonical,split,n_samples,n_participants
C1,CA,test,79,8
C1,CA,train,360,36
C1,CA,val,80,8
C1,HW,test,80,8
C1,HW,train,358,36
C1,HW,val,80,8
C1,SA,test,78,8
C1,SA,train,358,36
C1,SA,val,80,8
C2,CA,test,80,8
C2,CA,train,358,36
C2,CA,val,80,8
C2,HW,test,79,8
C2,HW,train,360,36
C2,HW,val,80,8
C2,SA,test,80,8
C2,SA,train,358,36
C2,SA,val,80,8
C3,CA,test,80,8
C3,CA,train,356,36
C3,CA,val,79,8
C3,HW,test,79,8
C3,HW,train,347,35
C3,HW,val,80,8
C3,SA,test,79,8
C3,SA,train,349,35
C3,SA,val,80,8
C4,CA,test,76,8
C4,CA,train,349,35
C4,CA,val,77,8
C4,HW,test,79,8
C4,HW,train,360,36
C4,HW,val,80,8
C4,SA,test,80,8
C4,SA,train,359,36
C4,SA,val,80,8
C5,CA,test,78,8
C5,CA,train,356,36
C5,CA,val,80,8
C5,HW,test,80,8
C5,HW,train,355,36
C5,HW,val,81,8
C5,SA,test,80,8
C5,SA,train,359,36
C5,SA,val,80,8
C6,CA,test,80,8
C6,CA,train,353,36
C6,CA,val,79,8
C6,HW,test,80,8
C6,HW,train,359,36
C6,HW,val,80,8
C6,SA,test,80,8
C6,SA,train,358,36
C6,SA,val,80,8
