scope,scope_value,threshold,n_samples,n_agree,agree_rate
overall,all,0.05,9275,3378,0.3642
class,C1,0.05,1553,512,0.3297
class,C2,0.05,1555,573,0.3685
class,C3,0.05,1529,596,0.3898
class,C4,0.05,1540,574,0.3727
class,C5,0.05,1549,576,0.3719
class,C6,0.05,1549,547,0.3531
posture,SA,0.05,3098,1637,0.5284
posture,CA,0.05,3080,1570,0.5097
posture,HW,0.05,3097,171,0.0552
class_x_posture,C1_SA,0.05,516,226,0.4380
class_x_posture,C1_CA,0.05,519,258,0.4971
class_x_posture,C1_HW,0.05,518,28,0.0541
class_x_posture,C2_SA,0.05,518,264,0.5097
class_x_posture,C2_CA,0.05,518,299,0.5772
class_x_posture,C2_HW,0.05,519,10,0.0193
class_x_posture,C3_SA,0.05,508,284,0.5591
class_x_posture,C3_CA,0.05,515,277,0.5379
class_x_posture,C3_HW,0.05,506,35,0.0692
class_x_posture,C4_SA,0.05,519,316,0.6089
class_x_posture,C4_CA,0.05,502,243,0.4841
class_x_posture,C4_HW,0.05,519,15,0.0289
class_x_posture,C5_SA,0.05,519,291,0.5607
class_x_posture,C5_CA,0.05,514,241,0.4689
class_x_posture,C5_HW,0.05,516,44,0.0853
class_x_posture,C6_SA,0.05,518,256,0.4942
class_x_posture,C6_CA,0.05,512,252,0.4922
class_x_posture,C6_HW,0.05,519,39,0.0751
overall,all,0.10,9275,5383,0.5804
class,C1,0.10,1553,871,0.5608
class,C2,0.10,1555,865,0.5563
class,C3,0.10,1529,918,0.6004
class,C4,0.10,1540,905,0.5877
class,C5,0.10,1549,905,0.5842
class,C6,0.10,1549,919,0.5933
posture,SA,0.10,3098,2518,0.8128
posture,CA,0.10,3080,2448,0.7948
posture,HW,0.10,3097,417,0.1346
class_x_posture,C1_SA,0.10,516,380,0.7364
class_x_posture,C1_CA,0.10,519,391,0.7534
class_x_posture,C1_HW,0.10,518,100,0.1931
class_x_posture,C2_SA,0.10,518,411,0.7934
class_x_posture,C2_CA,0.10,518,431,0.8320
class_x_posture,C2_HW,0.10,519,23,0.0443
class_x_posture,C3_SA,0.10,508,438,0.8622
class_x_posture,C3_CA,0.10,515,430,0.8350
class_x_posture,C3_HW,0.10,506,50,0.0988
class_x_posture,C4_SA,0.10,519,459,0.8844
class_x_posture,C4_CA,0.10,502,423,0.8426
class_x_posture,C4_HW,0.10,519,23,0.0443
class_x_posture,C5_SA,0.10,519,423,0.8150
class_x_posture,C5_CA,0.10,514,378,0.7354
class_x_posture,C5_HW,0.10,516,104,0.2016
class_x_posture,C6_SA,0.10,518,407,0.7857
class_x_posture,C6_CA,0.10,512,395,0.7715
class_x_posture,C6_HW,0.10,519,117,0.2254
overall,all,0.15,9275,6456,0.6961
class,C1,0.15,1553,1072,0.6903
class,C2,0.15,1555,1043,0.6707
class,C3,0.15,1529,1072,0.7011
class,C4,0.15,1540,1046,0.6792
class,C5,0.15,1549,1099,0.7095
class,C6,0.15,1549,1124,0.7256
posture,SA,0.15,3098,2889,0.9325
posture,CA,0.15,3080,2848,0.9247
posture,HW,0.15,3097,719,0.2322
class_x_posture,C1_SA,0.15,516,446,0.8643
class_x_posture,C1_CA,0.15,519,454,0.8748
class_x_posture,C1_HW,0.15,518,172,0.3320
class_x_posture,C2_SA,0.15,518,488,0.9421
class_x_posture,C2_CA,0.15,518,498,0.9614
class_x_posture,C2_HW,0.15,519,57,0.1098
class_x_posture,C3_SA,0.15,508,486,0.9567
class_x_posture,C3_CA,0.15,515,497,0.9650
class_x_posture,C3_HW,0.15,506,89,0.1759
class_x_posture,C4_SA,0.15,519,505,0.9730
class_x_posture,C4_CA,0.15,502,483,0.9622
class_x_posture,C4_HW,0.15,519,58,0.1118
class_x_posture,C5_SA,0.15,519,489,0.9422
class_x_posture,C5_CA,0.15,514,452,0.8794
class_x_posture,C5_HW,0.15,516,158,0.3062
class_x_posture,C6_SA,0.15,518,475,0.9170
class_x_posture,C6_CA,0.15,512,464,0.9062
class_x_posture,C6_HW,0.15,519,185,0.3565
overall,all,0.20,9275,7295,0.7865
class,C1,0.20,1553,1230,0.7920
class,C2,0.20,1555,1188,0.7640
class,C3,0.20,1529,1182,0.7731
class,C4,0.20,1540,1214,0.7883
class,C5,0.20,1549,1238,0.7992
class,C6,0.20,1549,1243,0.8025
posture,SA,0.20,3098,3017,0.9739
posture,CA,0.20,3080,2969,0.9640
posture,HW,0.20,3097,1309,0.4227
class_x_posture,C1_SA,0.20,516,485,0.9399
class_x_posture,C1_CA,0.20,519,490,0.9441
class_x_posture,C1_HW,0.20,518,255,0.4923
class_x_posture,C2_SA,0.20,518,512,0.9884
class_x_posture,C2_CA,0.20,518,511,0.9865
class_x_posture,C2_HW,0.20,519,165,0.3179
class_x_posture,C3_SA,0.20,508,500,0.9843
class_x_posture,C3_CA,0.20,515,503,0.9767
class_x_posture,C3_HW,0.20,506,179,0.3538
class_x_posture,C4_SA,0.20,519,514,0.9904
class_x_posture,C4_CA,0.20,502,493,0.9821
class_x_posture,C4_HW,0.20,519,207,0.3988
class_x_posture,C5_SA,0.20,519,509,0.9807
class_x_posture,C5_CA,0.20,514,483,0.9397
class_x_posture,C5_HW,0.20,516,246,0.4767
class_x_posture,C6_SA,0.20,518,497,0.9595
class_x_posture,C6_CA,0.20,512,489,0.9551
class_x_posture,C6_HW,0.20,519,257,0.4952
overall,all,0.25,9275,7980,0.8604
class,C1,0.25,1553,1312,0.8448
class,C2,0.25,1555,1346,0.8656
class,C3,0.25,1529,1325,0.8666
class,C4,0.25,1540,1352,0.8779
class,C5,0.25,1549,1323,0.8541
class,C6,0.25,1549,1322,0.8535
posture,SA,0.25,3098,3042,0.9819
posture,CA,0.25,3080,3000,0.9740
posture,HW,0.25,3097,1938,0.6258
class_x_posture,C1_SA,0.25,516,497,0.9632
class_x_posture,C1_CA,0.25,519,501,0.9653
class_x_posture,C1_HW,0.25,518,314,0.6062
class_x_posture,C2_SA,0.25,518,515,0.9942
class_x_posture,C2_CA,0.25,518,511,0.9865
class_x_posture,C2_HW,0.25,519,320,0.6166
class_x_posture,C3_SA,0.25,508,504,0.9921
class_x_posture,C3_CA,0.25,515,507,0.9845
class_x_posture,C3_HW,0.25,506,314,0.6206
class_x_posture,C4_SA,0.25,519,515,0.9923
class_x_posture,C4_CA,0.25,502,496,0.9880
class_x_posture,C4_HW,0.25,519,341,0.6570
class_x_posture,C5_SA,0.25,519,513,0.9884
class_x_posture,C5_CA,0.25,514,490,0.9533
class_x_posture,C5_HW,0.25,516,320,0.6202
class_x_posture,C6_SA,0.25,518,498,0.9614
class_x_posture,C6_CA,0.25,512,495,0.9668
class_x_posture,C6_HW,0.25,519,329,0.6339
overall,all,0.30,9275,8480,0.9143
class,C1,0.30,1553,1369,0.8815
class,C2,0.30,1555,1457,0.9370
class,C3,0.30,1529,1435,0.9385
class,C4,0.30,1540,1439,0.9344
class,C5,0.30,1549,1397,0.9019
class,C6,0.30,1549,1383,0.8928
posture,SA,0.30,3098,3049,0.9842
posture,CA,0.30,3080,3008,0.9766
posture,HW,0.30,3097,2423,0.7824
class_x_posture,C1_SA,0.30,516,500,0.9690
class_x_posture,C1_CA,0.30,519,501,0.9653
class_x_posture,C1_HW,0.30,518,368,0.7104
class_x_posture,C2_SA,0.30,518,515,0.9942
class_x_posture,C2_CA,0.30,518,514,0.9923
class_x_posture,C2_HW,0.30,519,428,0.8247
class_x_posture,C3_SA,0.30,508,505,0.9941
class_x_posture,C3_CA,0.30,515,507,0.9845
class_x_posture,C3_HW,0.30,506,423,0.8360
class_x_posture,C4_SA,0.30,519,516,0.9942
class_x_posture,C4_CA,0.30,502,497,0.9900
class_x_posture,C4_HW,0.30,519,426,0.8208
class_x_posture,C5_SA,0.30,519,513,0.9884
class_x_posture,C5_CA,0.30,514,491,0.9553
class_x_posture,C5_HW,0.30,516,393,0.7616
class_x_posture,C6_SA,0.30,518,500,0.9653
class_x_posture,C6_CA,0.30,512,498,0.9727
class_x_posture,C6_HW,0.30,519,385,0.7418
