feature,train_n,train_mean,train_std,val_n,val_mean,val_std,test_n,test_mean,test_std,mean_range,rel_mean_range,flag_unstable
depth_proxy,6412,4.914750,4.170634,1436,5.393428,3.755717,1427,5.275060,3.829603,0.478677,0.092152,False
motion_range_acc_z,6412,4.944066,1.585574,1436,4.749981,1.516230,1427,4.662575,1.393231,0.281491,0.058821,False
motion_range_gyro_mag,6412,0.718111,0.383936,1436,0.638625,0.358567,1427,0.620002,0.346320,0.098109,0.148895,False
bottom_stability_acc,6412,0.768946,0.407547,1436,0.672979,0.396062,1427,0.649818,0.309449,0.119128,0.170854,False
bottom_stability_gyro,6412,0.164863,0.108016,1436,0.137006,0.109630,1427,0.126069,0.070316,0.038794,0.271957,True
bottom_recovery_slope_acc_z,6412,0.110472,0.127153,1436,0.104162,0.117155,1427,0.090048,0.113955,0.020424,0.201098,True
bottom_transition_delta_acc_z,6412,-0.696213,1.368468,1436,-0.715968,1.330558,1427,-0.610752,1.147706,0.105216,0.156034,False
lateral_proxy_gyro,6412,0.423242,0.261258,1436,0.359069,0.266667,1427,0.355918,0.197462,0.067325,0.177446,False
anchor_reliability,6412,0.842388,0.193328,1436,0.832255,0.201271,1427,0.841381,0.200167,0.010133,0.012082,False
