epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,lr,time_seconds,is_best
1,1.7192512664360622,1.608279724307047,0.3426183844011142,0.34334316591193353,0.26497734336676676,0.001,0.7690572738647461,True
2,1.6123862542439757,1.5587934418309033,0.346100278551532,0.34687062401140983,0.26829399877217075,0.001,0.4176638126373291,True
3,1.535177118393011,1.497138143249873,0.4011142061281337,0.40117482035272284,0.3756216860109662,0.001,0.3823840618133545,True
4,1.478290876446853,1.4173173841327678,0.4206128133704735,0.4205891971687272,0.4091741418565576,0.001,0.3768904209136963,True
5,1.4095917235146591,1.3735650030683342,0.4596100278551532,0.459817302052854,0.4390011516179904,0.001,0.39317941665649414,True
6,1.3544959616675945,1.372093299637266,0.41643454038997213,0.41625927111027505,0.4022240422382841,0.001,0.335829496383667,False
7,1.3115568084413383,1.3452126216091485,0.479108635097493,0.4794681002236496,0.4613347087341279,0.001,0.36267924308776855,True
8,1.233774021128454,1.2171185545436518,0.4923398328690808,0.4919728265385624,0.4783785232824314,0.001,0.36754274368286133,True
9,1.1741315760020532,1.2223756598894975,0.5013927576601671,0.5014113412120937,0.4930910608243168,0.001,0.35202455520629883,True
10,1.1384043926681047,1.2498310123645495,0.4714484679665738,0.4716243210277546,0.45661055757004504,0.001,0.3659677505493164,False
11,1.0628849566168734,1.1824467430373753,0.5083565459610028,0.508284481773679,0.5009588411055217,0.001,0.36386609077453613,True
12,1.036558064942946,1.179588220162644,0.5097493036211699,0.5099399738013599,0.4913657571285294,0.001,0.3461771011352539,False
13,0.981426911731846,1.249023191651594,0.5104456824512534,0.510420854405412,0.5026607862851024,0.001,0.39911675453186035,True
14,0.9525903251047664,1.225882870324143,0.5,0.4998382458439013,0.48168810688058034,0.001,0.35736560821533203,False
15,0.9110987054803411,1.2741417699080988,0.4972144846796657,0.49695768990803063,0.48978695974868075,0.001,0.3771553039550781,False
16,0.897106971728824,1.3751306249902773,0.4735376044568245,0.4733187689457025,0.4644127790982923,0.001,0.3980886936187744,False
17,0.8519900055208284,1.2326761795451715,0.5222841225626741,0.5222265775315632,0.5148391066952446,0.001,0.36421799659729004,True
18,0.8009499818997612,1.4373788198554749,0.4958217270194986,0.4955025740064394,0.4858525762782382,0.001,0.37929248809814453,False
19,0.7840694362345295,1.3174329527905393,0.5215877437325905,0.5215286618729145,0.5174009310794978,0.001,0.3813478946685791,True
20,0.7530618803395529,1.4584761364670848,0.4986072423398329,0.49862540558493934,0.48864522676547967,0.001,0.36516690254211426,False
21,0.7397286041185994,1.375855102574759,0.5076601671309192,0.5074704592269424,0.5034682595669396,0.001,0.3874320983886719,False
22,0.6879689555873145,1.4266873781146445,0.5181058495821727,0.5178927936866676,0.5090889794405614,0.001,0.3619561195373535,False
23,0.6646251224460114,1.510080337462153,0.49512534818941506,0.49502875395433027,0.4787744222519637,0.001,0.353104829788208,False
24,0.657288816037657,1.4547377129949235,0.5215877437325905,0.5213992021417585,0.5100215813851308,0.001,0.37637948989868164,False
25,0.6136704664898157,1.5047486735336628,0.48467966573816157,0.48447336477897807,0.48157826057805325,0.001,0.35842418670654297,False
26,0.6092119950171344,1.57354990262175,0.4909470752089137,0.4907323734535554,0.48971641749879274,0.001,0.3698391914367676,False
27,0.5953120161463749,1.6085622978077625,0.48467966573816157,0.4842849037158283,0.48137279780142544,0.001,0.38855981826782227,False
28,0.558480469792319,1.6357546287347513,0.49025069637883006,0.4900065008234218,0.4883302531147716,0.001,0.3485586643218994,False
29,0.5406696622028101,1.5760209804457874,0.5041782729805014,0.5039748509867034,0.49597355665204423,0.001,0.3584761619567871,False
30,0.4959854593666657,1.6596908780608668,0.5027855153203342,0.5025806138792798,0.49640832433544196,0.001,0.40877437591552734,False
31,0.5030937465517802,1.6754938951773897,0.5062674094707521,0.5060720737552851,0.49940055571499925,0.001,0.39807653427124023,False
32,0.49339650615036523,1.9123994613424318,0.467966573816156,0.4675800973406296,0.46409051171741095,0.001,0.4362971782684326,False
33,0.46801612138078874,1.826304870416361,0.5069637883008357,0.5067443254735947,0.49538751739697995,0.001,0.3978769779205322,False
34,0.43958373783308496,1.858900529552967,0.48885793871866295,0.48870696460511004,0.4792648901945784,0.001,0.42429232597351074,False
