breakdown,posture,n,k,template_i2t_R,class_i2t_R,ambig_i2t_R,strict_i2t_R,class
posture,SA,477,1,0.7463312368972747,0.25366876310272535,0.9350104821802935,0.014675052410901468,
posture,SA,477,5,0.859538784067086,0.5324947589098532,0.949685534591195,0.05870020964360587,
posture,CA,473,1,0.6807610993657506,0.2642706131078224,0.8837209302325582,0.010570824524312896,
posture,CA,473,5,0.773784355179704,0.5496828752642706,0.945031712473573,0.04439746300211417,
posture,HW,477,1,0.7819706498951782,0.29559748427672955,0.9140461215932913,0.014675052410901468,
posture,HW,477,5,0.8511530398322851,0.4129979035639413,0.9329140461215933,0.06289308176100629,
posture,ALL,1427,1,0.6867554309740714,0.28521373510861947,0.9088997897687456,0.01051156271899089,
posture,ALL,1427,5,0.7533286615276804,0.4639103013314646,0.9390329362298528,0.05746320953048353,
class,,237,1,0.679324894514768,0.39662447257383965,0.9662447257383966,,C1
class,,237,5,0.7637130801687764,0.4767932489451477,0.9789029535864979,,C1
class,,239,1,0.6861924686192469,0.06276150627615062,0.891213389121339,,C2
class,,239,5,0.7573221757322176,0.30962343096234307,0.9372384937238494,,C2
class,,238,1,0.7184873949579832,0.2605042016806723,0.8571428571428571,,C3
class,,238,5,0.7647058823529411,0.5336134453781513,0.8991596638655462,,C3
class,,235,1,0.7404255319148936,0.37446808510638296,0.851063829787234,,C4
class,,235,5,0.8127659574468085,0.548936170212766,0.8978723404255319,,C4
class,,238,1,0.6638655462184874,0.21008403361344538,0.9705882352941176,,C5
class,,238,5,0.726890756302521,0.36134453781512604,0.9831932773109243,,C5
class,,240,1,0.6333333333333333,0.4083333333333333,0.9166666666666666,,C6
class,,240,5,0.6958333333333333,0.5541666666666667,0.9375,,C6
