split,true_class,pred_class,count
train,C1,C1,986
train,C1,C2,1
train,C1,C3,0
train,C1,C4,0
train,C1,C5,66
train,C1,C6,23
train,C2,C1,16
train,C2,C2,989
train,C2,C3,37
train,C2,C4,19
train,C2,C5,13
train,C2,C6,4
train,C3,C1,5
train,C3,C2,64
train,C3,C3,759
train,C3,C4,234
train,C3,C5,0
train,C3,C6,2
train,C4,C1,2
train,C4,C2,10
train,C4,C3,48
train,C4,C4,973
train,C4,C5,17
train,C4,C6,14
train,C5,C1,144
train,C5,C2,8
train,C5,C3,3
train,C5,C4,21
train,C5,C5,791
train,C5,C6,106
train,C6,C1,72
train,C6,C2,4
train,C6,C3,1
train,C6,C4,2
train,C6,C5,37
train,C6,C6,957
val,C1,C1,136
val,C1,C2,14
val,C1,C3,11
val,C1,C4,8
val,C1,C5,36
val,C1,C6,32
val,C2,C1,15
val,C2,C2,157
val,C2,C3,42
val,C2,C4,15
val,C2,C5,3
val,C2,C6,8
val,C3,C1,2
val,C3,C2,49
val,C3,C3,92
val,C3,C4,74
val,C3,C5,7
val,C3,C6,4
val,C4,C1,8
val,C4,C2,17
val,C4,C3,59
val,C4,C4,129
val,C4,C5,17
val,C4,C6,9
val,C5,C1,42
val,C5,C2,12
val,C5,C3,8
val,C5,C4,14
val,C5,C5,120
val,C5,C6,42
val,C6,C1,37
val,C6,C2,15
val,C6,C3,9
val,C6,C4,25
val,C6,C5,38
val,C6,C6,114
test,C1,C1,144
test,C1,C2,2
test,C1,C3,0
test,C1,C4,8
test,C1,C5,67
test,C1,C6,19
test,C2,C1,8
test,C2,C2,153
test,C2,C3,33
test,C2,C4,28
test,C2,C5,12
test,C2,C6,3
test,C3,C1,7
test,C3,C2,31
test,C3,C3,78
test,C3,C4,114
test,C3,C5,4
test,C3,C6,3
test,C4,C1,8
test,C4,C2,13
test,C4,C3,36
test,C4,C4,149
test,C4,C5,15
test,C4,C6,16
test,C5,C1,64
test,C5,C2,4
test,C5,C3,4
test,C5,C4,27
test,C5,C5,106
test,C5,C6,33
test,C6,C1,67
test,C6,C2,4
test,C6,C3,3
test,C6,C4,20
test,C6,C5,47
test,C6,C6,97
